25-06-16 23:58:32.887 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.techn.journalapp.service.RedisTest], using SpringBootContextLoader 
25-06-16 23:58:33.015 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.techn.journalapp.service.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
25-06-16 23:58:33.025 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.techn.journalapp.service.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
25-06-16 23:58:33.374 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.techn.journalapp.JournalApplication for test class com.techn.journalapp.service.RedisTest 
25-06-16 23:58:33.661 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
25-06-16 23:58:33.692 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@306851c7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12bcd0c0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4879f0f2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@47db5fa5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@354fc8f0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@41813449, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4678a2eb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5b43fbf6, org.springframework.test.context.event.EventPublishingTestExecutionListener@1080b026, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58ebfd03, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5b07730f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1fdfafd2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@a4b2d8f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@dcfda20, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6d304f9d] 
25-06-16 23:58:35.051 [main] INFO  c.techn.journalapp.service.RedisTest - Starting RedisTest using Java 17.0.13 on apples-MacBook-Pro.local with PID 86739 (started by apple in /Users/apple/Desktop/Irshad/java/Java/Spring/journalapp) 
25-06-16 23:58:35.060 [main] INFO  c.techn.journalapp.service.RedisTest - The following 1 profile is active: "prod" 
25-06-16 23:58:36.942 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-16 23:58:36.953 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-06-16 23:58:37.456 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 480 ms. Found 3 MongoDB repository interfaces. 
25-06-16 23:58:37.498 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-16 23:58:37.501 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-06-16 23:58:37.530 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.ConfigJournalAppRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-16 23:58:37.531 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-16 23:58:37.533 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-16 23:58:37.533 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces. 
25-06-16 23:58:39.391 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "10.15.7"}, "platform": "Java/Oracle Corporation/17.0.13+10-LTS-268", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='meirshad07', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@70716259]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.jl0ajab.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-q34iyo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-06-16 23:58:39.419 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:58:39.477 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:58:39.483 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:58:40.537 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:6294}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-16 23:58:40.537 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:6575}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-16 23:58:40.538 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=511684600, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=68504089e18d91dbd817d132, counter=3}, lastWriteDate=Mon Jun 16 23:58:40 IST 2025, lastUpdateTimeNanos=18672803023889} 
25-06-16 23:58:40.538 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=512349171, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=685040081086f8c63cb6590b, counter=4}, lastWriteDate=Mon Jun 16 23:58:40 IST 2025, lastUpdateTimeNanos=18672803134458} 
25-06-16 23:58:40.538 [cluster-rtt-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:6294}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-16 23:58:40.537 [cluster-ClusterId{value='6850625706b7543b646e99dd', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:6849}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
