25-06-16 23:59:55.069 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.techn.journalapp.service.RedisTest], using SpringBootContextLoader 
25-06-16 23:59:55.148 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.techn.journalapp.service.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
25-06-16 23:59:55.151 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.techn.journalapp.service.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
25-06-16 23:59:55.528 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.techn.journalapp.JournalApplication for test class com.techn.journalapp.service.RedisTest 
25-06-16 23:59:55.755 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
25-06-16 23:59:55.786 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@306851c7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12bcd0c0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4879f0f2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@47db5fa5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@354fc8f0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@41813449, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4678a2eb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5b43fbf6, org.springframework.test.context.event.EventPublishingTestExecutionListener@1080b026, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58ebfd03, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5b07730f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1fdfafd2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@a4b2d8f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@dcfda20, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6d304f9d] 
25-06-16 23:59:56.637 [main] INFO  c.techn.journalapp.service.RedisTest - Starting RedisTest using Java 17.0.13 on apples-MacBook-Pro.local with PID 86760 (started by apple in /Users/apple/Desktop/Irshad/java/Java/Spring/journalapp) 
25-06-16 23:59:56.639 [main] INFO  c.techn.journalapp.service.RedisTest - The following 1 profile is active: "prod" 
25-06-16 23:59:57.984 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-16 23:59:57.987 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-06-16 23:59:58.261 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 266 ms. Found 3 MongoDB repository interfaces. 
